,EvsRHE/V,filename,i/mAcm^-2_ECSA,,,,,,,,,,
0,0,0,0,,,,,,,,,,
,,,,,600,0.697140263,20171123_Pd_065_05_CA_C01.mpt,0.370854117,,3300,0.696764733,20171123_Pd_065_05_CA_C01.mpt,0.216681671
60,0.696739688,20171123_Pd_065_05_CA_C01.mpt,0.559313332,,600,0.699617989,20180226_POR_Pd_112_03_CA_C01.mpt,0.274680215,,3300,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt,0.37897964
60,0.699238529,20180226_POR_Pd_112_03_CA_C01.mpt,0.446271157,,600,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt,0.457307262,,3300,0.699841988,20180226_POR_Pd_112_03_CA_C01.mpt,0.169029927
60,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt,0.77239352,,600,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt,1.526950748,,3300,0.799541376,20180104_POR_Pd_084_03_CA_C01.mpt,1.004324645
60,0.799701854,20171214_AW_Pd_076_05_CA_C01.mpt,1.709445899,,600,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt,0.769924956,,3300,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt,1.075682309
60,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt,2.365727672,,600,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt,1.574821057,,3300,0.800085268,20180226_POR_Pd_113_03_CA_C01.mpt,0.216927092
60,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt,1.34623673,,600,0.84723447,20171203_Pd_069_05_CA_C01.mpt,2.271522926,,3300,0.84683645,20171203_Pd_069_05_CA_C01.mpt,2.139368028
60,0.84697358,20171203_Pd_069_05_CA_C01.mpt,2.733176046,,600,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt,3.09957517,,3300,0.84952408,20180104_POR_Pd_085_03_CA_C01.mpt,4.336181951
60,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt,5.743896575,,600,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt,5.303064895,,3300,0.84974554,20171214_AW_Pd_077_05_CA_C01.mpt,1.769413132
60,0.85000408,20171214_AW_Pd_077_05_CA_C01.mpt,3.301296765,,600,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt,4.686434909,,3300,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt,4.632509811
60,0.8968323,20171212_AW_Pd_073_05_CA_C01.mpt,5.030836142,,600,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt,2.902649676,,3300,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt,2.281429691
60,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt,4.908361946,,600,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt,3.913500713,,3300,0.89987209,20180227_POR_Pd_114_03_CA_C01.mpt,3.22471229
60,0.90011987,20171219_AW_Pd_079_05_CA_C01.mpt,3.938637898,,600,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt,4.107879485,,3300,0.94975494,20180227_POR_Pd_115_03_CA_C01.mpt,3.071664351
60,0.94951563,20180227_POR_Pd_115_03_CA_C01.mpt,8.678723593,,600,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt,4.175433362,,3300,0.94976197,20180103_POR_Pd_081_03_CA_C01.mpt,6.38169757
60,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt,9.410741686,,600,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt,5.800700596,,3300,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt,2.050112271
60,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt,8.090117064,,600,0.99685617,20171203_Pd_070_05_CA_C01.mpt,1.619659141,,3300,0.99652411,20171203_Pd_070_05_CA_C01.mpt,1.124817425
60,0.99736269,20171203_Pd_070_05_CA_C01.mpt,6.612533476,,600,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt,2.026851365,,3300,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt,1.279285769
60,0.99998973,20171214_AW_Pd_078_05_CA_C01.mpt,7.924812829,,600,1.09678571,20171122_Pd_064_05_CA_C01.mpt,1.358903741,,3300,1.09607987,20171122_Pd_064_05_CA_C01.mpt,0.603103763
60,1.09667469,20171122_Pd_064_05_CA_C01.mpt,12.62418675,,600,1.18746166,20171123_Pd_066_05_CA_C01.mpt,0.999555149,,3300,1.187685,20171123_Pd_066_05_CA_C01.mpt,0.475954064
