,E_grad,Ewe/V,I_grad,i/mAcm^-2_geom,time_stamp
0,2.0575175995367223e-07,-0.86623571925,-0.0009606561499121941,-0.9911124247125548,3.307600084299338
1,-4.110107074292435e-08,-0.7504078271166661,-0.01582407100885928,115.09779230947842,603.3077849270194
2,1.5843553687891078e-07,-0.7003722283666666,0.03686204779762269,241.8059607537866,1203.307769769744
3,-1.935834423442611e-07,-0.6504645395499998,0.05009220868756616,411.0732764896129,1803.307954612465
4,1.7530118693174154e-07,-0.6004138464666663,0.07525558842555162,550.8316639906118,2403.308139455185
5,-2.600422669643144e-07,-0.5504708865166663,0.030619071289168468,636.6500669230603,3003.308324297905
6,9.542547518996694e-08,-0.5004391519000002,0.024542178905859607,684.2694798874251,3603.308509140625
7,-1.2300393761155083e-08,-0.4503991345999999,-0.004947364532778895,716.5623381640455,4203.308695394997
8,-6.367173263679579e-08,-0.4004311840666667,-0.0010408963209961228,729.3191702591091,4803.308888130676
9,1.719520752419697e-07,-0.45039754166666673,-0.03665646766912628,725.7876301164898,5403.309080866355
10,2.467001157422405e-08,-0.5003812868666668,-0.04062723005125878,695.1531971689697,5703.309077234197
11,-2.8517387175155864e-07,-0.5504671327333335,0.03901910876172104,670.2067250781993,6003.309073602039
12,-6.31111299120626e-08,-0.6005384031000005,-0.02336536179755569,631.1687585923031,6303.309069969881
13,1.250137334427468e-07,-0.6504479129666669,-0.045068371037722876,563.4639587224285,6603.309066337722
14,1.655434519260242e-07,-0.7005002978000001,-0.15658138991615927,432.8855508386996,6903.309062705564
15,-3.3763114957042463e-09,-0.7504163072999996,-0.17025066050602022,244.7049145558652,7203.309059073406
